TD_CASS_ZIP,POPULATIONSIZE
78660,65710
78641,57739
78613,57260
78666,48801
78745,41438
78640,39786
78681,38363
78665,37698
78664,37287
78748,34775
78704,34726
78628,32859
78759,31270
78610,29117
78758,29026
78753,28785
78744,27934
78633,27454
78741,26427
78626,26170
78749,24787
78634,24374
78723,23527
78746,22546
78602,22453
78731,21990
78717,21722
78738,20879
78750,20359
78729,20010
78734,19479
78727,19370
78702,18799
78757,18319
78653,18298
78620,17193
78621,17038
78703,16948
78705,16854
78654,16461
78737,16308
78642,15930
78728,15197
78739,14694
76574,14629
78754,14123
78735,14057
78724,13954
78617,13933
78676,13591
78644,13418
78645,13219
78747,13135
78752,12607
78611,12487
78732,12149
78751,11486
78669,10499
78612,10148
78701,9506
78726,9500
78721,8215
78957,8140
78639,7449
76537,7333
78733,7211
78736,7110
78730,6927
78756,6581
78643,6420
78657,6342
78725,6321
78648,6166
78606,5391
78616,5305
78652,4823
78722,4758
78605,4646
78619,4539
78636,3386
76527,3277
78659,2652
78609,2091
76530,2061
78655,2057
78662,1953
76511,1660
78656,1597
78630,1560
78627,1489
78691,1409
76578,1404
78720,1309
78650,1273
78667,1188
78615,1153
78646,1145
78719,1107
78680,1057
78672,1010
78715,992
78709,974
78953,949
78761,926
78716,872
78683,833
78708,810
78755,797
78663,668
78742,541
78608,514
78674,298
78607,249
78712,232
78718,219
76885,140
78635,131
78673,130
76831,83
78651,42
78682,7
78710,5
